Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Alif Communities CIC,Clouds Of Blessings,"£76,440",19-May-22,May,Q1,London,Harrow,Combined arts,"Above £30,000 - Over £30k Touring project",
Manchester Collective,Manchester Collective 2022-23 Season,"£97,000",19-May-22,May,Q1,North,Manchester,Music,"Above £30,000 - Over £30k Touring project",
Greenwich+Docklands Festivals,Global Streets 2022-2023,"£350,000",19-May-22,May,Q1,London,Greenwich,Combined arts,"Above £30,000 - Over £30k Touring project",
Tom Bailey,Small Orchestral World Music Showcase,"£4,500",18-May-22,May,Q1,South East,Brighton and Hove,Music,"£30,000 and below",Supporting Grassroots Live Music
Jazanne Arts,Exchanging Dreams Tour,"£29,000",18-May-22,May,Q1,London,Enfield,Theatre,"£30,000 and below",
Hartlepool Borough Council,Hartlepool Waterfront Festival 2022 - When The Boat Comes In,"£47,000",18-May-22,May,Q1,North,Hartlepool,Combined arts,"Above £30,000",
LUNG,Woodhill Research and Development,"£29,375",18-May-22,May,Q1,North,Barnsley,Theatre,"£30,000 and below",
GoCreate Taunton Community Interest Company,Taunton Live and Pride 2022,"£29,500",18-May-22,May,Q1,South West,Somerset West and Taunton,Combined arts,"£30,000 and below",
CAST,START festival,"£17,500",18-May-22,May,Q1,North,South Tyneside,Combined arts,"£30,000 and below",
Salford City Council,We Invented the Weekend Festival,"£99,500",18-May-22,May,Q1,North,Salford,Combined arts,"Above £30,000",
Tom Marshman,Queering the Archive,"£37,500",18-May-22,May,Q1,South West,North Somerset,Combined arts,"£30,000 and below",
York Dance Space,Making Moves,"£15,850",18-May-22,May,Q1,North,York,Dance,"£30,000 and below",
Stefania Pinato,Our Choice (working title),"£18,976",18-May-22,May,Q1,North,Leeds,Dance,"£30,000 and below",
Aaron Howell,Night People Events,"£16,860",18-May-22,May,Q1,North,Bolton,Combined arts,"£30,000 and below",
frank prazer,Black Country Multi Cultural  Festival,"£10,000",18-May-22,May,Q1,South East,Luton,Combined arts,"£30,000 and below",
Lindsay Sharman,Ghosted,"£9,949",18-May-22,May,Q1,South East,Norwich,Combined arts,"£30,000 and below",
Eve Horne,UNHEARD ACADEMY,"£28,000",18-May-22,May,Q1,London,Greenwich,Music,"£30,000 and below",
North Yorkshire Library Service,Ey up! North Yorkshire Libraries Dialect Project,"£10,000",18-May-22,May,Q1,North,Hambleton,Combined arts,"£30,000 and below",
Ramsgate Festival of Sound CIC,Ramsgate Festival of Sound 2022,"£30,000",18-May-22,May,Q1,South East,Thanet,Combined arts,"£30,000 and below",
Ayanda Ndlovu,I M Pact x Lowry,"£29,853",18-May-22,May,Q1,North,Tameside,Dance,"£30,000 and below",
Yifan Wu,Choking Game,"£17,810",18-May-22,May,Q1,London,Islington,Theatre,"£30,000 and below",
The Farm Yard Circus,2022 Tour,"£29,985",18-May-22,May,Q1,South West,Swindon,Theatre,"£30,000 and below",
Nicola Werenowska,AFTER THE RAINBOW,"£12,665",18-May-22,May,Q1,South East,Colchester,Theatre,"£30,000 and below",
Max Percy,"Hong Kong Project - Research, Creation, Showing to England Audiences","£30,000",18-May-22,May,Q1,South East,Swale,Theatre,"£30,000 and below",
Both And,Hard Same R&D,"£11,600",18-May-22,May,Q1,South East,Thanet,Theatre,"£30,000 and below",
Wassail Theatre Company,R&D 2022,"£26,000",18-May-22,May,Q1,South West,South Somerset,Theatre,"£30,000 and below",
Art Licks,Cow Syke Projects 2022,"£20,468",18-May-22,May,Q1,North,Ryedale,Combined arts,"£30,000 and below",
Nouveau Riche Productions,CASTE-ING Regional Tour,"£29,547",18-May-22,May,Q1,South East,Medway,Theatre,"£30,000 and below",
Company Four,Untitled R&D,"£14,593",18-May-22,May,Q1,North,Manchester,Theatre,"£30,000 and below",
Rebecca Chadder,The Poison Belt,"£14,891",18-May-22,May,Q1,South East,West Berkshire,Theatre,"£30,000 and below",
Barrington Farm Trust,Michael Smith: A Retrospective,"£13,945",18-May-22,May,Q1,South East,North Norfolk,Visual arts,"£30,000 and below",
7E Youth Academy,LEGACY COE Establishing the Artistic Program,"£98,500",18-May-22,May,Q1,Midlands,Birmingham,Combined arts,"Above £30,000",
Kelly Reynolds,Meaningful Music with the under 5's,"£16,410",18-May-22,May,Q1,South East,Gravesham,Music,"£30,000 and below",
Lisa-Marie Gibbs,Colour Visions,"£30,000",18-May-22,May,Q1,South East,Reading,Visual arts,"£30,000 and below",
Angela Woodhouse,R&D Thermal dancescreen project/ NHS,"£15,000",18-May-22,May,Q1,London,Haringey,Dance,"£30,000 and below",
Caroline Liversidge,The Gingerbread Man,"£27,135",18-May-22,May,Q1,North,South Tyneside,Theatre,"£30,000 and below",
The Middlesbrough Art Weekender,Middlesbrough Art Weekender 2022: Power/power,"£49,500",18-May-22,May,Q1,North,Middlesbrough,Visual arts,"Above £30,000",
North Somerset Council,Weston Encounters,"£29,738",18-May-22,May,Q1,South West,North Somerset,Music,"£30,000 and below",
Emmerson & Ward,"The MP, Aunty Mandy & Me by Rob Ward - UK Tour","£29,986",18-May-22,May,Q1,North,Kirklees,Theatre,"£30,000 and below",
New Diorama,RECHARGE: An R&D intervention for collaborative work in England,"£69,500",18-May-22,May,Q1,London,Camden,Theatre,"Above £30,000",
SIGNALS ESSEX MEDIA CENTRE LTD,Plug In – Creatives,"£24,000",18-May-22,May,Q1,South East,Colchester,Combined arts,"£30,000 and below",
Marie-Louise Flexen,Bandstand Cabaret Tour,"£8,309",18-May-22,May,Q1,South West,Cotswold,Theatre,"£30,000 and below",
Brixton Chamber Orchestra,Summer Estates Tour 2022,"£14,389",18-May-22,May,Q1,London,Lambeth,Music,"£30,000 and below",
Carolyn Lilly,ADX 2022: Legends: celebrating the work of key dance artists from the African Diaspora,"£28,855",18-May-22,May,Q1,London,Hammersmith and Fulham,Dance,"£30,000 and below",
Joe Sellman-Leava,Fanboy: Rehearsal and Preliminary Touring,"£9,948",18-May-22,May,Q1,South West,Mid Devon,Theatre,"£30,000 and below",
Ejiro Ufuoma Essi,Production Film Commission: Is My Living in Vain,"£13,500",18-May-22,May,Q1,London,Lewisham,Visual arts,"£30,000 and below",
Brave Biscuit Studios Ltd,When Seagulls Saved the World Cornwall tour,"£28,015",18-May-22,May,Q1,South West,Cornwall,Theatre,"£30,000 and below",
Richard Chappell Dance CIC,Connecting Dance with Communities: Exeter and Bournemouth,"£29,890",18-May-22,May,Q1,South West,Exeter,Dance,"£30,000 and below",
Amanda Riberholt-Rischel,An Unexpected Tale in Smoky Midtown,"£10,000",18-May-22,May,Q1,London,Camden,Theatre,"£30,000 and below",
Cassandra Catchpole,Developing Outdoor Arts Audiences inTendring,"£29,973",18-May-22,May,Q1,South East,Tendring,Combined arts,"£30,000 and below",
Attic Theatre Company,All Roads Tour March 2023,"£29,990",18-May-22,May,Q1,London,Merton,Theatre,"£30,000 and below",
Rosa Firbank,Tick Tock Bridget R&D and Wellbeing Through Movement Workshops,"£31,298",18-May-22,May,Q1,South East,Brighton and Hove,Dance,"£30,000 and below",
Animikii Theatre,The Kaspar Hauser Experiment (Audience Development & National Tour 2022),"£33,873",18-May-22,May,Q1,North,Leeds,Theatre,"£30,000 and below",
Plaster Cast Theatre,Delicious Fruits R&D,"£27,290",18-May-22,May,Q1,South West,Mid Devon,Theatre,"£30,000 and below",
Electric Medway CIC,Electric Medway 2022: Augmented River,"£68,400",18-May-22,May,Q1,South East,Medway,Combined arts,"Above £30,000",
Chew Valley Performing Arts,Festival Autumn 2022,"£22,981",18-May-22,May,Q1,South West,Bath and North East Somerset,Combined arts,"£30,000 and below",
Mary Pearson,Witnessed in Translation,"£28,755",18-May-22,May,Q1,North,Liverpool,Dance,"£30,000 and below",
SS London Ltd,Spirit Of Sundaze Ensemble - Project Grant Application,"£14,775",18-May-22,May,Q1,London,Hackney,Music,"£30,000 and below",
Islington People's Theatre,Pause Storytelling Project,"£13,137",18-May-22,May,Q1,London,Islington,Combined arts,"£30,000 and below",
Pink Sky Theatre Company,Rapture by Sophie Leydon,"£26,550",18-May-22,May,Q1,London,Hackney,Theatre,"£30,000 and below",
Beth Knight,Mother of the Revolution,"£36,201",18-May-22,May,Q1,North,Bradford,Theatre,"£30,000 and below",
Chiranjiv Kainth,Refugee Week,"£24,053",18-May-22,May,Q1,South East,Reading,Visual arts,"£30,000 and below",
Westmorland Ltd,Forty Farms Exhibition & Engagement Programme,"£20,000",18-May-22,May,Q1,North,Eden,Visual arts,"£30,000 and below",
Stasa Dukic,On The Playground,"£2,899",18-May-22,May,Q1,London,Bexley,Theatre,"£30,000 and below",
Boxed Up Events,The Great Barn Festival 2022,"£13,560",18-May-22,May,Q1,South East,Vale of White Horse,Combined arts,"£30,000 and below",
Latinolife,LatinoLife in the Park 2022,"£48,000",17-May-22,May,Q1,London,Haringey,Music,"Above £30,000",
Drunken Chorus,A Bit Of A Do 2022 & 2023,"£78,675",17-May-22,May,Q1,London,Wandsworth,Theatre,"Above £30,000",
Studio KIND.,18-month programme at artist-led Studio KIND. in North Devon,"£45,955",16-May-22,May,Q1,South West,North Devon,Visual arts,"Above £30,000",
Fay Goodman,Samurai Rose,"£8,900",16-May-22,May,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
Johnathan Leighton,A-Typical Rainbow - A New Play by #ActuallyAutistic Writer at Turbine Theatre June 2022,"£35,750",16-May-22,May,Q1,Midlands,Wyre Forest,Theatre,"£30,000 and below",
Elizabeth Jane Dyer,Celebration of Biodiversity,"£15,000",16-May-22,May,Q1,Midlands,Leicester,Visual arts,"£30,000 and below",
Neil Brownsword,Obsolescence and Renewal,"£14,996",16-May-22,May,Q1,Midlands,Stoke-on-Trent,Visual arts,"£30,000 and below",
Joe Strickland,Digital Theatre Literary Department,"£29,800",16-May-22,May,Q1,Midlands,Nottingham,Theatre,"£30,000 and below",
Mohinder Singh,Visual Dimension,"£15,000",16-May-22,May,Q1,Midlands,Birmingham,Music,"£30,000 and below",
Sue Brown,Duppy Stories,"£19,126",16-May-22,May,Q1,Midlands,Birmingham,Literature,"£30,000 and below",
intoBodmin CIC,BodMaxx,"£50,506",16-May-22,May,Q1,South West,Cornwall,Combined arts,"Above £30,000",
Joseph Hancock,Don't Cut The Rope,"£30,000",16-May-22,May,Q1,Midlands,Dudley,Theatre,"£30,000 and below",
Hampshire Cultural Trust,HCT Key Notes,"£30,000",12-May-22,May,Q1,South West,Winchester,Combined arts,"£30,000 and below",Supporting Grassroots Live Music
People and Stories,Undertow:1982,"£29,680",12-May-22,May,Q1,South West,Portsmouth,Theatre,"£30,000 and below",
Kate Webb,Bristol Stories - Ebb and Flow 2022,"£24,900",12-May-22,May,Q1,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Anna Kemper,"Chalguh Chengi Tour, Preschool Programme and Development 2022","£30,000",12-May-22,May,Q1,South West,"Bristol, City of",Dance,"£30,000 and below",
Laura Murphy's Contra,'A Spectacle of Herself' R&D and Creation,"£31,790",12-May-22,May,Q1,South West,"Bristol, City of",Theatre,"£30,000 and below",
Burn the Curtain,The Imaginarium of Us - Commissioning with the Community,"£24,784",12-May-22,May,Q1,South West,East Devon,Combined arts,"£30,000 and below",
Lancaster City Council,Grassroots Project,"£31,626",11-May-22,May,Q1,North,Lancaster,Music,"£30,000 and below",Supporting Grassroots Live Music
Rachel Prendergast,punk & Judy,"£24,975",11-May-22,May,Q1,South East,Thanet,Music,"£30,000 and below",Supporting Grassroots Live Music
Henri Merriam,The Mechanicals Present....,"£13,202",11-May-22,May,Q1,South East,Huntingdonshire,Theatre,"£30,000 and below",
DIY Theatre Community Interest Company,Hanging by a Thread,"£24,938",11-May-22,May,Q1,North,Salford,Theatre,"£30,000 and below",
Quench Gallery,Quench Gallery 2022,"£29,000",11-May-22,May,Q1,South East,Thanet,Visual arts,"£30,000 and below",
Harriet Macauley,"Triplicity, R&D into Multimedia Performance Creation","£22,976",11-May-22,May,Q1,North,Leeds,Dance,"£30,000 and below",
Middleton-in-Teesdale Sports and Social Club,Grassroot Music,"£15,000",11-May-22,May,Q1,North,County Durham,Music,"£30,000 and below",Supporting Grassroots Live Music
Chelmsford City Council,Grassroots Live Music,"£12,000",11-May-22,May,Q1,South East,Chelmsford,Music,"£30,000 and below",Supporting Grassroots Live Music
Timothy Burke,Tyne Coast Arts Festival & HOME,"£13,294",11-May-22,May,Q1,North,Newcastle upon Tyne,Combined arts,"£30,000 and below",
Kai Hoffman,Herne Bay Jazz Festival,"£7,000",11-May-22,May,Q1,South East,Canterbury,Music,"£30,000 and below",Supporting Grassroots Live Music
Square Pegs,Square Pegs - Digital Project,"£23,260",11-May-22,May,Q1,South East,Medway,Combined arts,"£30,000 and below",
Limbik Ltd.,Rebel Rabble: Participatory Outdoor Audio Theatre,"£29,995",11-May-22,May,Q1,South East,East Suffolk,Theatre,"£30,000 and below",
Artpod Ltd,PLANT POWER,"£30,416",11-May-22,May,Q1,South East,Brighton and Hove,Theatre,"£30,000 and below",
ALFIE JAMES,Story Box Community Theatre Project Tiptree & Kelvedon,"£6,500",11-May-22,May,Q1,South East,Braintree,Theatre,"£30,000 and below",
Michael Betteridge,The Goodwin Sands - 1st England Tour,"£16,912",11-May-22,May,Q1,North,Manchester,Music,"£30,000 and below",
Emily O'Shea,On The Border - redevelopment,"£41,160",11-May-22,May,Q1,North,Warrington,Dance,"£30,000 and below",
Richard Jackson,House Of Godd,"£23,901",11-May-22,May,Q1,South East,Eastbourne,Theatre,"£30,000 and below",
Lucy Campbell,The Dance She Knows,"£16,327",11-May-22,May,Q1,North,Harrogate,Theatre,"£30,000 and below",
Elaine Collins,DDDivas Cabaret Development,"£17,631",11-May-22,May,Q1,North,Liverpool,Theatre,"£30,000 and below",
Lisa Fairfield,Gabriel,"£21,618",11-May-22,May,Q1,South East,Lewes,Theatre,"£30,000 and below",
Tim Dalling,The Magic Hare-Piece,"£20,793",11-May-22,May,Q1,North,Newcastle upon Tyne,Combined arts,"£30,000 and below",
South Asian Heritage Trust,South Asian Heritage Month Online Program 2022,"£17,921",11-May-22,May,Q1,North,Warrington,Combined arts,"£30,000 and below",
SEAS,Socially Engaged Art Salon Spring-Summer 2022 programme,"£29,952",11-May-22,May,Q1,South East,Brighton and Hove,Not discipline specific,"£30,000 and below",
James Fogerty,Valoris and the Expansions - dance on your estate,"£20,099",11-May-22,May,Q1,North,Kirklees,Dance,"£30,000 and below",
Candice Guiste,Fully Loaded Fest 2022,"£16,000",10-May-22,May,Q1,London,Hillingdon,Music,"£30,000 and below",Supporting Grassroots Live Music
Abeat Media,Challenge a Star 2,"£29,835",10-May-22,May,Q1,London,Newham,Music,"£30,000 and below",
IntrasonusUK,Dark Veil,"£30,000",10-May-22,May,Q1,London,Islington,Music,"£30,000 and below",
The London Library,Open Door: A Library for Everyone,"£28,000",10-May-22,May,Q1,London,Westminster,Libraries,"£30,000 and below",
Synne Lundesgaard,Vertical Terrain: supporting young artists' connections and creativity,"£12,082",10-May-22,May,Q1,London,Enfield,Combined arts,"£30,000 and below",
Ildiko Rippel,Wilding,"£13,050",10-May-22,May,Q1,Midlands,Nottingham,Theatre,"£30,000 and below",
Elisia Brown,Liberation Tarot 2.0,"£15,000",10-May-22,May,Q1,London,Southwark,Visual arts,"£30,000 and below",
Fulham Palace,Exploring the Bishop of London's Historic Involvement in the Lives of Enslaved People,"£29,000",10-May-22,May,Q1,London,Hammersmith and Fulham,Visual arts,"£30,000 and below",
Chloe Charody Creations LTD,This Is ABILITY!,"£34,400",10-May-22,May,Q1,Midlands,Rushcliffe,Combined arts,"£30,000 and below",
Holly Nolan,UN7TSEVEN,"£28,520",10-May-22,May,Q1,London,Hackney,Visual arts,"£30,000 and below",
Good Chance Theatre,Fly With Me,"£29,000",10-May-22,May,Q1,London,Croydon,Combined arts,"£30,000 and below",
Romany Reagan,"Woman’s Weeds: From Cunning Women to Feminist Botany, the origins of women in STEM","£29,524",10-May-22,May,Q1,London,Haringey,Museums,"£30,000 and below",
Riverside artists group,Riverside community lanterns,"£4,000",10-May-22,May,Q1,London,Ealing,Visual arts,"£30,000 and below",
Josh Elliott,Creative Peaks,"£27,608",10-May-22,May,Q1,Midlands,Derby,Combined arts,"£30,000 and below",Supporting Grassroots Live Music
MARK BEER,A Christmas Carol Community Theatre Project,"£6,500",10-May-22,May,Q1,Midlands,Stratford-on-Avon,Theatre,"£30,000 and below",
Bleached Club,Bleached Club,"£4,110",10-May-22,May,Q1,London,Tower Hamlets,Music,"£30,000 and below",Supporting Grassroots Live Music
Sarah Corbett,The Sylvia Plath Literary Festival,"£25,000",10-May-22,May,Q1,North,Calderdale,Combined arts,"£30,000 and below",
Ian Ashby,pengenista drummers,"£5,000",10-May-22,May,Q1,London,Croydon,Music,"£30,000 and below",Supporting Grassroots Live Music
Kate Cox,Worcester Paint Festival 2022,"£20,000",10-May-22,May,Q1,Midlands,Worcester,Visual arts,"£30,000 and below",
Modus Arts,SoundHoppers 2022-23,"£29,500",10-May-22,May,Q1,London,Haringey,Visual arts,"£30,000 and below",
Street Orchestra Live,Summer Tour 2022,"£30,000",10-May-22,May,Q1,London,Croydon,Music,"£30,000 and below",
Matthias Connor,Editing  a Novel,"£11,192",10-May-22,May,Q1,London,Southwark,Literature,"£30,000 and below",
Worcester Music Festival,Worcester Music Festival,"£29,323",10-May-22,May,Q1,Midlands,Worcester,Music,"£30,000 and below",Supporting Grassroots Live Music
Scirocco Dance Theatre Company,Invisible Cities,"£4,000",10-May-22,May,Q1,London,Bromley,Dance,"£30,000 and below",
Charles Dickens Museum,Ghosts: Dickens and the Supernatural,"£21,910",10-May-22,May,Q1,London,Camden,Museums,"£30,000 and below",Unlocking Collections
Keshin Harrison,AnExperience Presents ...,"£9,000",10-May-22,May,Q1,London,Haringey,Combined arts,"£30,000 and below",Supporting Grassroots Live Music
Black Country Dance Hub,BCDH DEVELOPMENT PHASE 1,"£30,000",6-May-22,May,Q1,Midlands,Walsall,Dance,"£30,000 and below",
Gravity & Levity,"Investing in people, potential and partners","£59,019",6-May-22,May,Q1,South East,Brighton and Hove,Dance,"Above £30,000",
Rural Media Charity,Books on Film with BBC Arts,"£115,000",6-May-22,May,Q1,Midlands,"Herefordshire, County of",Not discipline specific,"Above £30,000 - Nationally Significant project",
Kevin Fegan,Belper Town Community Play,"£65,175",6-May-22,May,Q1,Midlands,Amber Valley,Theatre,"Above £30,000",
The Generator CIC,The Generator Loughborough,"£100,000",6-May-22,May,Q1,Midlands,Charnwood,Combined arts,"Above £30,000",
Salma Zulfiqar,ARTconnects for Solidarity Phase 4,"£19,457",6-May-22,May,Q1,Midlands,Solihull,Visual arts,"£30,000 and below",
"Furthest from the Sea Music, Comedy & Arts CIC",Furthest From The Sea Festival 2022,"£29,944",6-May-22,May,Q1,Midlands,Amber Valley,Combined arts,"£30,000 and below",
David Murphy,The Harmony of the Worlds,"£89,657",6-May-22,May,Q1,South East,St Albans,Music,"Above £30,000",
Nikki Charlesworth,"What Happened to You? International Tour to World Stage Design 2022, Calgary, Canada","£41,589",6-May-22,May,Q1,Midlands,Broxtowe,Theatre,"£30,000 and below",
Ruth Angell,KUSH Music in Schools,"£7,897",6-May-22,May,Q1,Midlands,Shropshire,Music,"£30,000 and below",
Etruria Canals Festival Group,Women of the Waterways,"£19,300",6-May-22,May,Q1,Midlands,Stoke-on-Trent,Combined arts,"£30,000 and below",
Aidem Digital CIC,DESIblitz Literature Festival 2022,"£49,835",6-May-22,May,Q1,Midlands,Birmingham,Literature,"Above £30,000",
Unanima Theatre,Organisational Development,"£40,397",6-May-22,May,Q1,Midlands,Mansfield,Theatre,"Above £30,000",
Cloud Cuckoo Land Theatre,FLEX,"£34,376",6-May-22,May,Q1,Midlands,Birmingham,Theatre,"£30,000 and below",
Long Division CIC,Supporting DIY Music Culture - Wakefield,"£12,100",5-May-22,May,Q1,North,Wakefield,Music,"£30,000 and below",Supporting Grassroots Live Music
Matylda Augustynek,far t her,"£1,743",5-May-22,May,Q1,North,Wigan,Visual arts,"£30,000 and below",
Alice corrigan,Past Life // CPT,"£10,841",5-May-22,May,Q1,North,Wigan,Theatre,"£30,000 and below",
Leoe & Hyde Ltd.,Double Life: An LGBT Virtual Reality Musical,"£30,000",5-May-22,May,Q1,North,Bury,Theatre,"£30,000 and below",
Kemi-Bo Millar Jacobs,All White Everything But Me 2022,"£15,000",5-May-22,May,Q1,North,Stockton-on-Tees,Theatre,"£30,000 and below",
Sweet Patootee Arts,TURNING POINT (Making the Project),"£49,999",5-May-22,May,Q1,London,Islington,Visual arts,"Above £30,000",
Outside In Pathways,Talking About Our TV Generation,"£46,311",5-May-22,May,Q1,London,Kensington and Chelsea,Combined arts,"Above £30,000",
Sophie Buxton,ArtHouses 2022,"£25,004",5-May-22,May,Q1,North,North Tyneside,Visual arts,"£30,000 and below",
COMMUNITY ARTS BY ZK CIC,TRANSLATING HOME,"£19,950",5-May-22,May,Q1,North,Pendle,Visual arts,"£30,000 and below",
TramShed Theatre Company,Shed Stories,"£29,000",5-May-22,May,Q1,North,Wigan,Theatre,"£30,000 and below",
TIMOTHY HARRISON,We Live Here - R&D,"£20,000",5-May-22,May,Q1,North,Manchester,Combined arts,"£30,000 and below",
Forest Sounds Theatre Ltd,Person Spec - An International Co-created Participatory Theatre Project for the North East of England,"£23,725",4-May-22,May,Q1,North,Sheffield,Theatre,"£30,000 and below",
Monkeywood Theatre,BEST DAYS OF YOUR LIFE R&D,"£25,435",4-May-22,May,Q1,North,Manchester,Theatre,"£30,000 and below",
Beaconsfield,Mediums of Change,"£29,995",4-May-22,May,Q1,London,Lambeth,Visual arts,"£30,000 and below",
Sounds East,Sounds East Live,"£29,750",4-May-22,May,Q1,South East,Ipswich,Music,"£30,000 and below",Supporting Grassroots Live Music
Java Bere,On the Irregular - Live Meet Up & Recording,"£5,440",4-May-22,May,Q1,North,Calderdale,Visual arts,"£30,000 and below",
Greedy Pig Theatre Company,Peacocking R&D Phase 2 Application,"£9,373",4-May-22,May,Q1,South West,Bath and North East Somerset,Theatre,"£30,000 and below",
Whippet Up CIC,For the people; by the people,"£61,010",4-May-22,May,Q1,North,Redcar and Cleveland,Theatre,"Above £30,000",
Kwame Asafo-Adjei,Family Honour - Full Project Development,"£29,926",4-May-22,May,Q1,London,Lambeth,Dance,"£30,000 and below",
Wandsworth Arts Service,Happy Streets Festival 2022,"£19,000",4-May-22,May,Q1,London,Wandsworth,Not discipline specific,"£30,000 and below",
Friends of Heathlands,Heathlands music summer fete,"£9,500",4-May-22,May,Q1,South East,St Albans,Music,"£30,000 and below",
Tara Silverthorn,Creating and reimagining; new and existing work,"£15,955",4-May-22,May,Q1,South West,"Bristol, City of",Dance,"£30,000 and below",
The Seagull Lowestoft Community Interest Company,Schools Professionals project,"£14,100",4-May-22,May,Q1,South East,East Suffolk,Theatre,"£30,000 and below",
KENDAL TORCHLIGHT CARNIVAL,Kendal Torchlight: Scrapheap Legends,"£98,010",4-May-22,May,Q1,North,South Lakeland,Combined arts,"Above £30,000",
Historyriot Ltd,1797 - Co-created immersive theatre,"£32,376",4-May-22,May,Q1,South East,St Albans,Theatre,"£30,000 and below",
KELDER,"Here, Together, Now","£13,270",4-May-22,May,Q1,London,Islington,Combined arts,"£30,000 and below",
christopher malaolu,SAMSKARA: engaging more of East London’s Black audiences,"£32,600",4-May-22,May,Q1,London,Hackney,Dance,"£30,000 and below",
The Performance Ensemble,1001 Digital Stories of our City,"£125,000",4-May-22,May,Q1,North,Leeds,Theatre,"Above £30,000 - Over £100k application",
Thomas Mallender,Write-London Fresh Perspectives,"£14,035",4-May-22,May,Q1,London,Hammersmith and Fulham,Literature,"£30,000 and below",
Breach LLP,After the Act R&D,"£27,185",4-May-22,May,Q1,London,Camden,Theatre,"£30,000 and below",
Frankie Thompson,Catts R&D,"£22,187",4-May-22,May,Q1,London,Harrow,Theatre,"£30,000 and below",
Holly Beasley-Garrigan,Opal Fruits Development and Tour,"£31,932",4-May-22,May,Q1,South West,"Bristol, City of",Theatre,"£30,000 and below",
INVISIBLE WIND FACTORY LIMITED,OUTPUT Gallery 2022/23,"£29,952",4-May-22,May,Q1,North,Liverpool,Combined arts,"£30,000 and below",
RMBC Events Team,WOW Rotherham,"£74,620",4-May-22,May,Q1,North,Rotherham,Combined arts,"Above £30,000",
Joanna Whittle,National Fairground & Circus Archive Project,"£17,994",4-May-22,May,Q1,North,Sheffield,Visual arts,"£30,000 and below",Unlocking Collections
Pop Recs Ltd,Increasing diversity project fund,"£30,000",4-May-22,May,Q1,North,Sunderland,Music,"£30,000 and below",Supporting Grassroots Live Music
Barnes Children's Literature Festival CIC,Barnes Children's Literature Festival Free Primary Schools Programme 2022,"£13,000",4-May-22,May,Q1,London,Richmond upon Thames,Literature,"£30,000 and below",
HAC,EartH Studios,"£30,000",4-May-22,May,Q1,London,Hackney,Music,"£30,000 and below",Supporting Grassroots Live Music
HamFarmFestival,Ham Farm Festival 2022,"£6,219",4-May-22,May,Q1,South West,South Gloucestershire,Music,"£30,000 and below",
Cultural Spring,Cultural Spring Charity,"£28,000",4-May-22,May,Q1,North,Sunderland,Not discipline specific,"£30,000 and below",
ZU-UK (ZECORA URA THEATRE COMPANY),"RADIO GHOST - An interactive audio-led game for Shopping Malls, addressing Sustainable Consumption","£34,730",4-May-22,May,Q1,London,Sefton,Visual arts,"£30,000 and below",
Jazz Jurassica,Keeping Music Alive,"£14,950",4-May-22,May,Q1,South West,Dorset,Music,"£30,000 and below",Supporting Grassroots Live Music
Ragtag Arts & Community Scrapstore,The Ragtag Roadshow,"£32,950",4-May-22,May,Q1,North,South Lakeland,Theatre,"£30,000 and below",
Kunsthalle Cromer,The Sun Also Rises,"£5,408",4-May-22,May,Q1,South East,North Norfolk,Visual arts,"£30,000 and below",
Elena Traina,Amarantha Live,"£13,883",4-May-22,May,Q1,South East,Norwich,Combined arts,"£30,000 and below",
Swati Dance Company,S/he,"£27,500",4-May-22,May,Q1,North,West Lancashire,Dance,"£30,000 and below",
Reading Borough Council - Heritage and Culture,Reading Anniversary Celebrations,"£28,000",4-May-22,May,Q1,South East,Reading,Combined arts,"£30,000 and below",
Boudica,Boudica Music Conference 2022 RESUBMISSION,"£25,560",4-May-22,May,Q1,London,Hackney,Music,"£30,000 and below",
Quirk Theatre Ltd,Mary the Pigeon 2022,"£47,007",3-May-22,May,Q1,South West,Exeter,Theatre,"Above £30,000",
Prodigal Theatre,"2022: Community Festival, Tour, & Development","£60,000",3-May-22,May,Q1,South West,Cornwall,Combined arts,"Above £30,000",
Tessa Bide Productions Ltd,The Detective Dog Research & Development,"£34,970",27-Apr-22,April,Q1,South West,"Bristol, City of",Theatre,"£30,000 and below",
Remi Adefeyisan,YOU US & THEM NEXT PHASE,"£14,584",27-Apr-22,April,Q1,North,Manchester,Visual arts,"£30,000 and below",
Filskit Theatre Ltd,Wonder Gigs,"£29,979",27-Apr-22,April,Q1,South West,Winchester,Music,"£30,000 and below",
Radiophonic Workshop,2022 -The Radiophonic Institute Programme,"£29,000",27-Apr-22,April,Q1,London,Westminster,Music,"£30,000 and below",
Pareesha Webster,Journey of the Caribbean: Our Story,"£16,635",27-Apr-22,April,Q1,North,Leeds,Combined arts,"£30,000 and below",
European Opera Centre,Showmen/women opera creation,"£27,500",27-Apr-22,April,Q1,North,Liverpool,Music,"£30,000 and below",
ame C.I.C.,"Time Ahead Festival - two weeks of sound art & graffiti exhibition, film, concert, Skill:Share educational program & workshop","£24,135",27-Apr-22,April,Q1,North,Kirklees,Combined arts,"£30,000 and below",
School Ground Sounds,After School Programme (ASP),"£18,500",27-Apr-22,April,Q1,London,Wandsworth,Music,"£30,000 and below",
